date,year,month,quarter,week,aggregation_level,price_exaa_mean,price_mc_auction_mean,price_count_exaa,price_count_mc,data_completeness,month_name,carbonprices_exchange_rate_eur_usd,carbonprices_primary_market,carbonprices_secondary_market,climate_cdd_at,climate_hdd_at,climate_cdd_eu,climate_hdd_eu,prod_gross_electricity_production,prod_gross_electricity_consumption,prod_hydropower_production_total,prod_fossil_sk_production,prod_fossil_DvfB_production,prod_fossil_DvOe_production,prod_fossil_gas_production,prod_fossil_subtotal_production,prod_renewable_bio_production,prod_renewable_SoBio_production,prod_other_fuels_production,prod_fuel_production_total,prod_wind_total,prod_pv_total,prod_geothermal_total,prod_power_production_total,prod_electricity_imports,prod_electricity_exports,oegpi_month,oegpi_quarter,oegpi_season,oegpi_year,econ_prod_index_industry,econ_consumer_price_index,econ_exports_total_EUR,econ_turnover_index_commercial_sales,econ_count_overnight_stays,econ_turnover_industry,econ_count_employees_industry,econ_prod_index_construction,econ_total_production_construction,econ_turnover_index_construction,econ_turnover_construction,econ_count_employees_construction,econ_turnover_index_wholesale,econ_turnover_index_retail,econ_count_employees_retail,econ_turnover_index_car_retail,econ_imports_total_EUR,econ_imports_energy_EUR
2009-01-01,2009.0,1.0,1.0,1.0,monthly,,,,,,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7051048985.0,,14097673.0,,,,,,,,,,,,7405372582.0,747375706.0
2009-02-01,2009.0,2.0,1.0,5.0,monthly,,,,,,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7389291425.0,,16092427.0,,,,,,,,,,,,7781843587.0,717125068.0
2009-03-01,2009.0,3.0,1.0,9.0,monthly,,,,,,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8334299147.0,,11173913.0,,,,,,,,,,,,8671693701.0,742604520.0
2009-04-01,2009.0,4.0,2.0,14.0,monthly,,,,,,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7585423200.0,,7560486.0,,,,,,,,,,,,8317024224.0,751568264.0
2009-05-01,2009.0,5.0,2.0,18.0,monthly,,,,,,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7482909968.0,,6292516.0,,,,,,,,,,,,7539187473.0,766328805.0
2009-06-01,2009.0,6.0,2.0,23.0,monthly,,,,,,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7799966573.0,,8577758.0,,,,,,,,,,,,7891651323.0,748684497.0
2009-07-01,2009.0,7.0,3.0,27.0,monthly,,,,,,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8181674103.0,,14519650.0,,,,,,,,,,,,8254145482.0,887176323.0
2009-08-01,2009.0,8.0,3.0,31.0,monthly,,,,,,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6516418009.0,,16695239.0,,,,,,,,,,,,7039051429.0,858969966.0
2009-09-01,2009.0,9.0,3.0,36.0,monthly,,,,,,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8471906631.0,,9498362.0,,,,,,,,,,,,8918027300.0,831948756.0
2009-10-01,2009.0,10.0,4.0,40.0,monthly,,,,,,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8711610399.0,,6090811.0,,,,,,,,,,,,8765344878.0,871948933.0
